house_type,locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
"3 BHK Flat for Rent in Kundalahalli, Brookefield, Bangalore",Kundalahalli,Bangalore,1388.0,3,3,2,Semi-Furnished,43.0,60000.0
"2 BHK Flat for Rent in Rhcs Layout, Sunkadakatte, Bangalore",RHCS Layout,Bangalore,600.0,2,1,0,Semi-Furnished,13.0,8000.0
"3 BHK Flat for Rent in Hebbal, Bangalore",Hebbal,Bangalore,1345.0,3,3,3,Semi-Furnished,52.0,70000.0
4 BHK Villa for Rent in Krishnarajapura Bangalore,KR Puram,Bangalore,2888.0,4,4,3,Semi-Furnished,35.0,100000.0
2 BHK House for Rent in Bilekahalli Bangalore,Bilekahalli,Bangalore,950.0,2,2,0,Semi-Furnished,29.0,28000.0
"3 BHK Flat for Rent in Defence Enclave, Bangalore",Defence Enclave,Bangalore,1560.0,3,3,2,Semi-Furnished,28.0,43000.0
"3 BHK Flat for Rent in Begur Hulimavu Road, Bangalore",Begur Hulimavu Road,Bangalore,1450.0,3,2,3,Furnished,22.0,32000.0
"3 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1150.0,3,3,2,Semi-Furnished,35.0,40000.0
"2 BHK Flat for Rent in Sarjapur Road, Bangalore",Sarjapur Road,Bangalore,1051.0,2,2,0,Semi-Furnished,42.0,44000.0
"2 BHK Flat for Rent in Subs Nagar, Chikkajala, Bangalore-Hyderabad Hwy, Bangalore",Subs Nagar,Bangalore,802.0,2,2,2,Semi-Furnished,37.0,30000.0
